GEO LEVEL,GEO COMPARISON,YEAR,GEO UNIT,ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,E_TOTPOP,E_NOVEH,NOVEH_PER,E_POV150,POV150_PER,E_AGE65,AGE65_PER,E_AGE17,AGE17_PER
Tract,state,2020,tract,6,California,CA,6089,Shasta County,6089012101,4492,92,0.02048085485,1194,0.2658058771,624,0.1389136242,1065,0.2370881567
Tract,state,2020,tract,6,California,CA,6089,Shasta County,6089012102,2225,148,0.06651685393,702,0.315505618,556,0.2498876404,542,0.2435955056
Tract,state,2020,tract,6,California,CA,6089,Shasta County,6089012200,5638,0,0,1552,0.2752749202,895,0.1587442355,1569,0.2782901738
Tract,state,2020,tract,6,California,CA,6089,Shasta County,6089012301,2638,41,0.01554207733,613,0.2323730099,479,0.1815769522,590,0.2236542835
Tract,state,2020,tract,6,California,CA,6089,Shasta County,6089012302,5871,47,0.00800545052,625,0.106455459,1332,0.2268778743,1083,0.1844660194
Tract,state,2020,tract,6,California,CA,6089,Shasta County,6089012303,3569,22,0.00616419165,389,0.108994116,836,0.2342392827,633,0.1773606052
Tract,state,2020,tract,6,California,CA,6089,Shasta County,6089012400,3859,51,0.01321585903,739,0.1915003887,849,0.2200051827,761,0.1972013475
Tract,state,2020,tract,6,California,CA,6089,Shasta County,6089012500,1531,11,0.007184846506,608,0.3971260614,536,0.3500979752,113,0.07380796865
Tract,state,2020,tract,6,California,CA,6089,Shasta County,6089012603,4324,76,0.01757631822,588,0.1359851989,1455,0.336493987,422,0.09759481961
Tract,state,2020,tract,6,California,CA,6089,Shasta County,6089012604,2320,1,0.0004310344828,408,0.175862069,644,0.2775862069,276,0.1189655172
Tract,state,2020,tract,6,California,CA,6089,Shasta County,6089012605,1932,20,0.01035196687,210,0.1086956522,675,0.349378882,285,0.147515528
Tract,state,2020,tract,6,California,CA,6089,Shasta County,6089012606,3413,42,0.01230588925,1299,0.3806035746,731,0.2141810724,621,0.1819513624
Tract,state,2020,tract,6,California,CA,6089,Shasta County,6089012701,4937,136,0.02754709338,1434,0.2904597934,1137,0.2303018027,1444,0.292485315
Tract,state,2020,tract,6,California,CA,6089,Shasta County,6089012702,2461,14,0.005688744413,702,0.2852498984,654,0.2657456319,456,0.1852905323
